Wed Oct 12 17:39:52 PDT 2011
Sender,SampleRate,UnixPlumTime,PlumTime,Voltage,Block Id,Sequence No
163,5,425,Wed Dec 31 16:07:05 PST 1969,4095,2,10
163,5,6515,Wed Dec 31 17:48:35 PST 1969,4095,2,11
163,5,6960,Wed Dec 31 17:56:00 PST 1969,4095,2,12
163,5,6965,Wed Dec 31 17:56:05 PST 1969,4095,2,13
163,5,6970,Wed Dec 31 17:56:10 PST 1969,4095,2,14
163,5,6975,Wed Dec 31 17:56:15 PST 1969,4095,2,15
163,5,6980,Wed Dec 31 17:56:20 PST 1969,4095,2,16
163,5,6985,Wed Dec 31 17:56:25 PST 1969,4095,2,17
163,5,6990,Wed Dec 31 17:56:30 PST 1969,4095,2,18
163,5,7030,Wed Dec 31 17:57:10 PST 1969,4095,2,19
163,5,7040,Wed Dec 31 17:57:20 PST 1969,4095,2,20
163,5,7055,Wed Dec 31 17:57:35 PST 1969,4095,2,21
163,5,7140,Wed Dec 31 17:59:00 PST 1969,4095,2,22
163,5,7145,Wed Dec 31 17:59:05 PST 1969,4095,2,23
163,5,7195,Wed Dec 31 17:59:55 PST 1969,4095,2,24
163,5,7200,Wed Dec 31 18:00:00 PST 1969,4095,2,25
163,5,7205,Wed Dec 31 18:00:05 PST 1969,4095,2,26
163,5,7215,Wed Dec 31 18:00:15 PST 1969,4095,2,27
163,5,7225,Wed Dec 31 18:00:25 PST 1969,4095,2,28
163,5,7235,Wed Dec 31 18:00:35 PST 1969,4095,2,29
163,5,7240,Wed Dec 31 18:00:40 PST 1969,4095,2,30
163,5,7245,Wed Dec 31 18:00:45 PST 1969,4095,2,31
163,5,7250,Wed Dec 31 18:00:50 PST 1969,4095,2,32
163,5,7265,Wed Dec 31 18:01:05 PST 1969,4095,2,33
163,5,7270,Wed Dec 31 18:01:10 PST 1969,4095,2,34
163,5,7275,Wed Dec 31 18:01:15 PST 1969,4095,2,35
163,5,7280,Wed Dec 31 18:01:20 PST 1969,4095,3,36
163,5,7295,Wed Dec 31 18:01:35 PST 1969,4095,3,37
163,5,7300,Wed Dec 31 18:01:40 PST 1969,4095,3,38
163,5,7305,Wed Dec 31 18:01:45 PST 1969,4095,3,39
163,5,7315,Wed Dec 31 18:01:55 PST 1969,4095,3,40
163,5,7320,Wed Dec 31 18:02:00 PST 1969,4095,3,41
163,5,7325,Wed Dec 31 18:02:05 PST 1969,4095,3,42
163,5,7360,Wed Dec 31 18:02:40 PST 1969,4095,3,43
163,5,7365,Wed Dec 31 18:02:45 PST 1969,4095,3,44
163,5,7370,Wed Dec 31 18:02:50 PST 1969,4095,3,45
163,5,7770,Wed Dec 31 18:09:30 PST 1969,4095,3,46
163,5,7775,Wed Dec 31 18:09:35 PST 1969,4095,3,47
163,5,7780,Wed Dec 31 18:09:40 PST 1969,4095,3,48
163,5,7785,Wed Dec 31 18:09:45 PST 1969,4095,3,49
163,5,7790,Wed Dec 31 18:09:50 PST 1969,4095,3,50
163,5,7795,Wed Dec 31 18:09:55 PST 1969,4095,3,51
163,5,7800,Wed Dec 31 18:10:00 PST 1969,4095,3,52
163,5,7805,Wed Dec 31 18:10:05 PST 1969,4095,3,53
163,5,7810,Wed Dec 31 18:10:10 PST 1969,4095,3,54
163,5,7825,Wed Dec 31 18:10:25 PST 1969,4095,3,55
163,5,7845,Wed Dec 31 18:10:45 PST 1969,4095,3,56
163,5,7860,Wed Dec 31 18:11:00 PST 1969,4095,3,57
163,5,7865,Wed Dec 31 18:11:05 PST 1969,4095,3,58
163,5,7875,Wed Dec 31 18:11:15 PST 1969,4095,3,59
163,5,7885,Wed Dec 31 18:11:25 PST 1969,4095,3,60
163,5,7890,Wed Dec 31 18:11:30 PST 1969,4095,3,61
163,5,7895,Wed Dec 31 18:11:35 PST 1969,4095,4,62
163,5,7900,Wed Dec 31 18:11:40 PST 1969,4095,4,63
163,5,7905,Wed Dec 31 18:11:45 PST 1969,4095,4,64
163,5,7910,Wed Dec 31 18:11:50 PST 1969,4095,4,65
163,5,7920,Wed Dec 31 18:12:00 PST 1969,4095,4,66
163,5,7925,Wed Dec 31 18:12:05 PST 1969,4095,4,67
163,5,7930,Wed Dec 31 18:12:10 PST 1969,4095,4,68
163,5,7940,Wed Dec 31 18:12:20 PST 1969,4095,4,69
163,5,7945,Wed Dec 31 18:12:25 PST 1969,4095,4,70
163,5,7950,Wed Dec 31 18:12:30 PST 1969,4095,4,71
163,5,7955,Wed Dec 31 18:12:35 PST 1969,4095,4,72
163,5,7960,Wed Dec 31 18:12:40 PST 1969,4095,4,73
163,5,7965,Wed Dec 31 18:12:45 PST 1969,4095,4,74
163,5,7970,Wed Dec 31 18:12:50 PST 1969,4095,4,75
163,5,7975,Wed Dec 31 18:12:55 PST 1969,4095,4,76
163,5,7980,Wed Dec 31 18:13:00 PST 1969,4095,4,77
163,5,7985,Wed Dec 31 18:13:05 PST 1969,4095,4,78
163,5,7990,Wed Dec 31 18:13:10 PST 1969,4095,4,79
163,5,8000,Wed Dec 31 18:13:20 PST 1969,4095,4,80
163,5,8005,Wed Dec 31 18:13:25 PST 1969,4095,4,81
163,5,8010,Wed Dec 31 18:13:30 PST 1969,4095,4,82
163,5,8015,Wed Dec 31 18:13:35 PST 1969,4095,4,83
163,5,8020,Wed Dec 31 18:13:40 PST 1969,4095,4,84
163,5,8025,Wed Dec 31 18:13:45 PST 1969,4095,4,85
163,5,8030,Wed Dec 31 18:13:50 PST 1969,4095,4,86
163,5,8035,Wed Dec 31 18:13:55 PST 1969,4095,4,87
163,5,8040,Wed Dec 31 18:14:00 PST 1969,4095,5,88
163,5,8045,Wed Dec 31 18:14:05 PST 1969,4095,5,89
163,5,8050,Wed Dec 31 18:14:10 PST 1969,4095,5,90
163,5,8060,Wed Dec 31 18:14:20 PST 1969,4095,5,91
163,5,8065,Wed Dec 31 18:14:25 PST 1969,4095,5,92
163,5,8070,Wed Dec 31 18:14:30 PST 1969,4095,5,93
163,5,8075,Wed Dec 31 18:14:35 PST 1969,4095,5,94
163,5,8080,Wed Dec 31 18:14:40 PST 1969,4095,5,95
163,5,8085,Wed Dec 31 18:14:45 PST 1969,4095,5,96
163,5,8090,Wed Dec 31 18:14:50 PST 1969,4095,5,97
163,5,8095,Wed Dec 31 18:14:55 PST 1969,4095,5,98
163,5,8100,Wed Dec 31 18:15:00 PST 1969,4095,5,99
163,5,8105,Wed Dec 31 18:15:05 PST 1969,4095,5,100
163,5,8110,Wed Dec 31 18:15:10 PST 1969,4095,5,101
163,5,8115,Wed Dec 31 18:15:15 PST 1969,4095,5,102
163,5,8120,Wed Dec 31 18:15:20 PST 1969,4095,5,103
163,5,8130,Wed Dec 31 18:15:30 PST 1969,4095,5,104
163,5,8135,Wed Dec 31 18:15:35 PST 1969,4095,5,105
163,5,8140,Wed Dec 31 18:15:40 PST 1969,4095,5,106
163,5,8145,Wed Dec 31 18:15:45 PST 1969,4095,5,107
163,5,8150,Wed Dec 31 18:15:50 PST 1969,4095,5,108
163,5,8155,Wed Dec 31 18:15:55 PST 1969,4095,5,109
163,5,8160,Wed Dec 31 18:16:00 PST 1969,4095,5,110
163,5,8165,Wed Dec 31 18:16:05 PST 1969,4095,5,111
163,5,8170,Wed Dec 31 18:16:10 PST 1969,4095,5,112
163,5,8175,Wed Dec 31 18:16:15 PST 1969,4095,5,113
163,5,8180,Wed Dec 31 18:16:20 PST 1969,4095,6,114
163,5,8185,Wed Dec 31 18:16:25 PST 1969,4095,6,115
